listing_id,date,num_reviews,reviewers
6568691,2025-08-01,1,677194481
32785219,2025-07-01,1,17369048
33025817,2024-10-01,2,"342381939,470894187"
32785219,2025-02-01,2,"332720986,190300361"
32785219,2024-10-01,3,"575374399,131310506,264759084"
6568691,2024-11-01,1,451986353
40810548,2025-02-01,1,207689340
26600975,2024-09-01,1,529629754
6568691,2025-03-01,3,"79626217,497731460,408167184"
32785219,2025-04-01,1,188341833
6568691,2024-12-01,1,122423555
32785219,2024-12-01,3,"124750605,14253576,2794128"
32785219,2024-11-01,2,"324543894,87393327"
32785219,2025-06-01,2,"10755796,694874512"
6568691,2025-01-01,1,277154178
26600975,2025-06-01,2,"578202480,240915900"
6568691,2025-07-01,2,"12522446,38343291"
35298141,2025-07-01,1,51647414
22973277,2025-04-01,1,440847009
40810548,2024-12-01,1,666482105
22973277,2024-12-01,1,303054710
6568691,2025-02-01,1,678837613
32785219,2025-03-01,1,264759084
6568691,2025-06-01,3,"45892531,134520339,472343412"
32785219,2024-09-01,3,"380931059,14988303,122650321"
6568691,2024-10-01,2,"190444421,361999595"
32785219,2025-01-01,2,"57953398,263751485"
32785219,2025-05-01,1,24020329
22973277,2025-07-01,1,4176584
25351694,2024-12-01,2,"83002354,4660610"
20040341,2025-07-01,1,171216464
40501095,2024-11-01,1,523308279
38698555,2024-10-01,1,256555587
1023556,2025-06-01,2,"22470499,368193293"
38698555,2025-06-01,2,"197034624,417196945"
25351694,2025-05-01,3,"337890937,495680928,4660610"
40501095,2024-10-01,1,295975128
20040341,2025-05-01,1,477138481
25351694,2025-03-01,1,303411544
25351694,2025-04-01,1,52407255
40501095,2025-01-01,1,33362753
25351694,2025-06-01,1,119685795
20040341,2024-09-01,4,"129270171,60599950,261198483,464978005"
24706725,2024-12-01,3,"576771072,31526725,308860532"
38698555,2025-05-01,2,"256555587,4729279"
25351694,2025-07-01,3,"702258524,692955141,705520333"
20040341,2024-12-01,1,140492767
38698555,2024-12-01,1,463654428
20040341,2025-04-01,1,119912794
38698555,2025-07-01,1,85879049
40501095,2025-02-01,1,655625453
25351694,2025-01-01,1,4660610
25351694,2024-10-01,3,"4660610,4660610,23400570"
38698555,2024-11-01,1,310142894
20040341,2025-02-01,1,31740625
24706725,2025-06-01,2,"21110874,22156116"
20040341,2025-06-01,1,349546928
24706725,2025-02-01,1,54646104
38698555,2025-01-01,3,"555438515,671229279,437545674"
38698555,2025-04-01,1,493844552
20040341,2025-01-01,1,532556288
24706725,2025-07-01,2,"592947619,229157622"
20040341,2025-03-01,2,"141258551,33269950"
38698555,2025-08-01,1,317021137
1023556,2025-04-01,1,235625239
31922701,2025-04-01,3,"51792824,83415583,573549684"
41372291,2024-11-01,1,474926072
34251626,2024-09-01,1,44334035
31922701,2025-07-01,2,"508932213,106355553"
41372291,2024-12-01,2,"134353416,196082825"
35335812,2025-03-01,1,681896561
31922701,2025-08-01,1,66662562
40535840,2025-03-01,2,"682067580,682952234"
31922701,2024-09-01,4,"1125243,573549684,51342979,5161285"
23577364,2024-09-01,3,"164229586,525641180,200496876"
14938797,2024-10-01,3,"486264869,95040763,390348301"
40535840,2025-02-01,3,"421223373,662688961,675829851"
37613831,2025-05-01,1,9866165
40535840,2025-06-01,2,"698430081,408167184"
14938797,2025-01-01,5,"382506257,21795891,439121340,371432416,28709042"
41372291,2025-03-01,3,"177906170,164077175,677244592"
41372291,2025-07-01,3,"177906170,419471558,694616070"
